view1,view2,correspondences,formula_relative_error,camera_center_relative_residual,projected_point_sampson_max,projected_point_normalized_residual_max,rank_ratio,observation_sampson_median,transpose_sampson_median,lott_certified,lott_failures,hs_finite,both_finite,lott_cost_mean,hs_cost_mean,gap_mean,gap_abs_max,lott_normalized_residual_max,hs_normalized_residual_max
2,19,1,6.1505151132665612e-19,1.0306768845316152e-16,5.3895083368311986e-10,1.417977216267077e-19,1.3096630442430366e-22,1.3574982610997688,10.967566181748079,1,0,1,1,1.8427856455075573,1.8427856455074525,1.0480505352461478e-13,1.0480505352461478e-13,3.6692627555634793e-22,0
2,20,1,1.1102725133802766e-16,1.0306768845316152e-16,1.3652654880399026e-09,5.9311461100268353e-19,5.7519737209240208e-22,0.89638978038943185,0.89711118481806906,1,0,1,1,0.80350993608521981,0.80350993608529664,-7.6827433304060833e-14,7.6827433304060833e-14,3.6628037682124985e-22,7.3256075364249997e-22
2,21,1,1.1104073834422005e-16,1.0306768845316152e-16,2.1165170333875576e-09,5.6974417010289189e-19,4.3458995831129854e-23,0.52371921274885214,11.063059073646309,1,0,1,1,0.27428090923576992,0.27428090923571613,5.3790305543088834e-14,5.3790305543088834e-14,3.6471781860645538e-22,0
3,4,229,7.3746564234383308e-16,1.1129443982440207e-16,6.4891748389076705e-08,1.8923736371407166e-17,4.07069831522755e-23,0.14647538850086841,6.5635678713823093,229,0,229,229,0.067370653471073308,0.067370653471075584,-2.2948488981027268e-15,1.4455103780619538e-13,7.9891902773526723e-20,5.326329575887953e-20
3,5,120,1.8615602495550642e-16,1.1129443982440207e-16,7.5357090914895262e-09,2.0724812848221733e-18,2.8265446985281362e-22,0.16565655736808688,12.741893979235115,120,0,120,120,0.14591751123885632,0.14591751123885857,-2.164617126550285e-15,4.1766590186398389e-13,2.6455883256659509e-20,2.2103486982985674e-20
3,6,72,1.7044557727553049e-16,1.1129443982440207e-16,1.4069174221310555e-09,5.6264756871861833e-19,4.8933786746873672e-24,0.27316178506973565,16.290279959534459,72,0,72,72,0.24646339292384173,0.24646339292384167,1.2705255098472104e-16,2.6822988274943782e-13,2.4960724220347233e-20,1.6640482813564832e-20
3,7,51,5.3247901294028556e-17,1.1129443982440207e-16,1.1076318078235942e-09,2.7213065863884126e-19,2.1308466037267423e-22,0.27884456245572636,23.299481584240329,51,0,51,51,0.36176700287197938,0.36176700287197894,4.4773490453195589e-16,4.0856207306205761e-13,1.2185279681915337e-20,8.8049002339744372e-21
3,8,22,1.1139665846789146e-16,1.1129443982440207e-16,4.8905861164766e-10,1.4837099173813527e-19,1.7654164012866829e-22,0.35745981978014341,26.954954699968411,22,0,22,22,0.38876572767879486,0.38876572767877132,2.3615103464638798e-14,3.1707969583294471e-13,6.8970030956042096e-21,4.1254307231157902e-21
3,9,8,1.1167710401148718e-16,1.1129443982440207e-16,3.1374396839192304e-10,8.0796921900347196e-20,2.3380949014000191e-24,0.43554006167029302,24.10855510367789,8,0,8,8,0.52417056124063177,0.52417056124066552,-3.3779728146610122e-14,2.5357493882438575e-13,6.9514168226282825e-21,2.1826840422434164e-21
3,10,7,1.1106173213147032e-16,1.1129443982440207e-16,2.7765955822910242e-10,6.5427310148560675e-20,2.7060465659388381e-23,0.3432267692413154,25.679679571138347,7,0,7,7,0.51530577569178526,0.51530577569177238,1.2936080777998475e-14,6.6779914931203166e-14,6.7377811044133717e-21,1.1440849916919076e-21
